id,name,lat,lng,nation,naissance,mort,c_date,e,e_date,genre,ocupation,link,WP
2,Jean Rostand,46.603354,1.8883335,France,1894-10-30,1977-04-09,1953-08-03,148,1966-10-15,Homme,de la biologie,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fbiografieonline.it%2Fimg%2Fbio%2FJean_Rostand_1.jpg&f=1&nofb=1&ipt=54c77d9e4645aef5fdf8b499ca31d07ffd0dcfa528a336f046aa522162aea296,https://fr.wikipedia.org/wiki/Jean_Rostand
121,Asger Aaboe,55.670249,10.3333283,Denmark,1922-04-26,2007-01-19,1966-04-10,174,1971-11-01,Homme,des mathematiques,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fmathshistory.st-andrews.ac.uk%2FBiographies%2FAaboe%2Fthumbnail.jpg&f=1&nofb=1&ipt=0596d5c6c30af34642bb2dc3d9949c5342a5e0c1abd5a0433dd3012b8ca71ad0,https://fr.wikipedia.org/wiki/Asger_Aaboe
125,Joaquim de Carvalho,38.7077507,-9.1365919,Portugal,1892-10-06,1958-10-27,1934-02-03,100,1957-10-07,Homme,philosophe des sciences,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fc8.alamy.com%2Fcomp%2F2CCW973%2Fjoaquim-de-carvalho-1927-2CCW973.jpg&f=1&nofb=1&ipt=055f422e399d4fae47ab01f8b42b28370479a659ab1fc1502ce2dbaff85a7792,https://pt.wikipedia.org/wiki/Joaquim_de_Carvalho
132,Paul Delaunay,46.603354,1.8883335,France,1878-02-16,1958-03-02,1929-05-21,77,1955-05-07,Homme,de la medecine,https://cths.fr/_files/an/pr/img_107607.jpg,https://fr.wikipedia.org/wiki/Paul_Delaunay
140,Eduard Dijksterhuis,52.24764975,5.54124685,Pays-Bas,1892-10-28,1965-05-18,1947-03-06,74,1952-05-03,Homme,editeur,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fmathshistory.st-andrews.ac.uk%2FBiographies%2FDijksterhuis%2Fthumbnail.jpg&f=1&nofb=1&ipt=281a99eb5fa1890c38c53c850b480e4c4e3221bd476abe6ed3ebf02d005db677,https://fr.wikipedia.org/wiki/Eduard_Jan_Dijksterhuis
142,Hugo Dingler,51.1638175,52.52,Allemagne,1881-07-07,1954-06-29,1929-03-20,34,1933-06-02,Homme,des mathematiques,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fbibliofilosofiamilano.files.wordpress.com%2F2015%2F12%2Fdinglerhugo_1.jpg&f=1&nofb=1&ipt=8a208b3219f7750b174d9a3c6a09e805ae6d9cbc39e13a2cf229d45042d5b6c8,https://en.wikipedia.org/wiki/Hugo_Dingler
143,Ahmed Djebbar,36.2657178,31.2333,France,1941-02-08,,1995-02-02,310,2005-12-28,Homme,des mathematiques,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fcdn-s-www.estrepublicain.fr%2Fimages%2F2EA956C2-0CBE-4851-A156-B805AC2501B2%2FNW_raw%2Fahmed-djebbar-professeur-emerite-en-mathematique-photo-er-dr-1670840991.jpg&f=1&nofb=1&ipt=1d82b0870f4e4308318e1846aa3da06ffbfba10d466dee744529fb05e9d8630d,https://fr.wikipedia.org/wiki/Ahmed_Djebbar
160,Federigo Enriques,43.33,10.19,Italie,1871-05-01,1946-06-14,1933-06-02,37,1934-03-03,Homme,editeur,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.mathisintheair.org%2Fwp%2Fwp-content%2Fuploads%2F2019%2F11%2FFederigo_Enriques.jpg&f=1&nofb=1&ipt=1decc2432cc9cad68fa47366f6bca2ba94956a70ad4e38a10bdd1466d50978d8,https://fr.wikipedia.org/wiki/Federigo_Enriques
167,Emil Fellmann,46.7985624,52.52,Suisse,1927-09-17,2012-05-18,1971-11-01,225,1983-04-15,Homme,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fopc.mfo.de%2FphotoNormal%3Fid%3D15862&f=1&nofb=1&ipt=8b1e828629f503279812d1b5f5f2be9f00a8a4934e0ee2024f540fd2996d963f,https://de.wikipedia.org/wiki/Emil_Fellmann
171,Joachim Fleckenstein,51.1638175,53.55,Suisse,1914-07-07,1980-02-21,1960-02-15,160,1967-12-24,Homme,des mathematiques,,https://de.wikipedia.org/wiki/Joachim_Otto_Fleckenstein
