id,name,group,shadow
121,Asger Aaboe,Danemark,TRUE
142,Hugo Dingler,Allemagne,TRUE
143,Ahmed Djebbar,France,TRUE
171,Joachim Fleckenstein,Suisse,TRUE
196,Owen Gingerich,Etats Unis,TRUE
206,Ivor Grattan-Guinness,Royaume-Uni,TRUE
231,Thomas Heath,Royaume-Uni,TRUE
239,John Herivel,Royaume-Uni,TRUE
272,Jean Itard,France,TRUE
284,Karine Chemla,France,TRUE
290,Edward Kennedy,Etats Unis,TRUE
301,Akira Kobori,Japon,TRUE
350,Daston Lorraine,Etats Unis,TRUE
398,Otto Neugebauer,Etats Unis,TRUE
468,Julio Rey Pastor,Espagne,TRUE
517,Kripa Shukla,Inde,TRUE
570,D'Arcy Wentworth Thompson,Inde,TRUE
577,Ettore Bortolotti,Italie,TRUE
599,Carl Boyer,Etats Unis,TRUE
638,Hans Wussing,Allemagne,TRUE
689,Karen Parshall,Etats Unis,TRUE
793,Hendrik Bos,Denmark,TRUE
795,Jan Hogendijk,Pays-Bas,TRUE
832,Ugo Cassina,Italie,TRUE
842,Enrico Giusti,Italie,TRUE
886,Jean Dhombres,France,TRUE
986,Gino Loria,Italie,TRUE
1001,Quido Vetter,Tchecoslovaquie,TRUE
1015,Samuel Dickstein,Pologne,TRUE
1017,David Smith,Lithuanie,TRUE
1019,Michela Malpangotto,France,TRUE
1028,Roshdi Rashed,France,TRUE
1036,Christoph J. Scriba,Allemagne,TRUE
1037,Kurt Vogel,Allemagne,TRUE
1057,Dorothea Singer,Royaume-Uni,TRUE
1062,Florian Cajori,Etats Unis,TRUE
198,Mario Gliozzi,Italie,TRUE
236,Clarisse Hellman,Etats Unis,TRUE
254,Michael Hoskin,Royaume-Uni,TRUE
295,Martin Klein,Etats Unis,TRUE
447,Giovanni Polvani,Italie,TRUE
474,Vasco Ronchi,Italie,TRUE
521,Marie Boas Hall,Royaume-Uni,TRUE
578,Marie-Antoinette Tonnelat,France,TRUE
937,Alexander Jones,Canada,TRUE
991,William Shea,Canada,TRUE
1006,Pierre Costabel,France,TRUE
1011,Efthymios Nicolaidis,Grece,TRUE
1064,Pierre Brunet,France,TRUE
