id,name,naissance,mort,genre,e.date,,,,,,,img-path,prix,prix-id,fond,WP,WD
2,Jean Rostand,1894-10-30,1977-04-09,Homme,1966-10-15,,,,,,,file_uploads/ulf_1_RostandJean.jpg,,,,https://fr.wikipedia.org/wiki/Jean_Rostand,Q287953
121,Asger Aaboe,1922-04-26,2007-01-19,Homme,1971-11-01,,,,,,,file_uploads/ulf_702_Asger_Aaboe.jpg,,,,https://fr.wikipedia.org/wiki/Asger_Aaboe,Q724489
124,Louis de Broglie,1892-08-15,1987-03-19,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d2/Broglie_Big.jpg,,,,https://fr.wikipedia.org/wiki/Louis_de_Broglie,Q83331
125,Joaquim de Carvalho,1892-10-06,1958-10-27,Homme,1957-10-07,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b2/Joaquim_de_Carvalho_1927.jpg,,,,https://pt.wikipedia.org/wiki/Joaquim_de_Carvalho,Q1690871
126,Paloma de La Vallee Poussin,1866-08-14,2016-12-17,Homme,,,,,,,,file_uploads/ulf_484_De_La_Vallée_Poussin.jpg,,,,https://fr.wikipedia.org/wiki/Charles-Jean_de_La_Vall%C3%A9e_Poussin,Q982518
128,Luiz de Pina,1901-08-24,1972-01-01,Homme,,,,,,,,,,,,https://pt.wikipedia.org/wiki/Lu%C3%ADs_de_Pina,Q10321763
129,Bernard Carra de Vaux,1867-05-02,1953-01-01,Homme,,,,,,,,file_uploads/ulf_233_Bernard.Carra de Vaux.1867-1952.C004.preview.jpg,,,,https://fr.wikipedia.org/wiki/Bernard_Carra_de_Vaux-Saint-Cyr,Q14645284
130,Allen Debus,1926-08-16,2009-06-03,Homme,1991-01-30,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1e/Allen_Debus_reading_book_2006_Alchemy_Conference.jpg,Médaille Sarton,10084,,,Q24292
131,François Delaporte,1941-06-28,2019-05-28,Homme,,,,,,,,file_uploads/ulf_664_Delaporte.jpg,,,,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Delaporte,Q3084395
132,Paul Delaunay,1878-02-16,1958-03-02,Homme,1955-05-07,,,,,,,,,,,https://fr.wikipedia.org/wiki/Paul_Delaunay,Q3371018
136,Federico Di Trocchio,1949-03-30,2013-03-09,Homme,,,,,,,,,,,,https://de.wikipedia.org/wiki/Federico_Di_Trocchio,Q1400455
137,Mario Dias,1914-04-26,2003-01-01,Homme,,,,,,,,file_uploads/ulf_547_mario_vianna_dias.jpg,,,,https://pt.wikipedia.org/wiki/Mario_Ulysses_Vianna_Dias,Q104558681
139,Jean Dieudonné,1906-01-07,1992-11-29,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e6/Jean_Dieudonn%C3%A9.jpg,,,,https://fr.wikipedia.org/wiki/Jean_Dieudonn%C3%A9,Q371957
