id,spe,naissance
2,Sciences du vivant,1894-10-30
121,Sciences mathematiques,1922-04-26
125,Philosophie,1892-10-06
132,Medecine,1878-02-16
140,Sciences du vivant,1892-10-28
142,Sciences mathematiques,1881-07-07
143,Sciences mathematiques,1941-02-08
160,Sciences du vivant,1871-05-01
167,Autres,1927-09-17
171,Sciences mathematiques,1914-07-07
172,Autres,1933-01-01
187,Sciences du vivant,1949-06-15
193,Philosophie,1908-11-05
195,Chimie,1920-03-29
196,Sciences mathematiques,1930-03-24
198,Sciences physiques,1899-03-24
199,Medecine,1906-07-23
204,Autres,1941-01-21
206,Sciences mathematiques,1941-06-23
229,Sciences du vivant,1870-12-21
231,Sciences mathematiques,1861-05-10
232,Autres,1906-01-06
236,Sciences physiques,1910-08-28
239,Sciences mathematiques,1918-08-29
244,Autres,1871-05-07
247,Autres,1900-07-03
254,Sciences physiques,1930-02-27
255,Philosophie,1884-06-27
258,Medecine,1901-10-16
266,Philosophie,1919-10-18
268,Mathematiques,1943-12-26
272,Sciences mathematiques,1902-06-16
277,Technique,1913-01-01
284,Sciences mathematiques,1957-08-02
289,Philosophie,1903-11-27
290,Sciences mathematiques,1912-03-01
295,Sciences physiques,1924-06-25
297,Chimie,1904-01-22
301,Sciences mathematiques,1904-10-09
310,Sciences du vivant,1901-06-26
314,Philosophie,1922-07-18
315,Autres,1930-01-01
317,Autres,1903-05-10
321,Sciences mathematiques,1921-03-01
323,Medecine,1908-02-15
326,Medecine,1896-05-09
334,Autres,1886-08-22
338,Sciences du vivant,1935-11-15
342,Autres,1857-09-01
350,Sciences mathematiques,1951-09-06
365,Medecine,1899-01-14
367,Sciences de la terre,1881-08-21
372,Astronomie,1924-10-13
380,Sciences physiques,1929-02-24
392,Medecine,1897-09-17
396,chimie,1900-09-12
397,Medecine,1868-08-12
398,Sciences mathematiques,1899-05-26
405,Autres,1942-03-06
407,Sciences du vivant,1933-04-10
408,Sciences du vivant,1936-01-20
411,Autres,1911-01-01
416,Philosophie,1958-11-25
418,Medecine,1898-12-11
424,Autres,1895-05-21
426,Sciences du vivant,1886-06-30
434,chimie,1890-10-31
442,Autres,1933-02-01
443,Autres,1867-09-04
447,Sciences physiques,1892-12-17
448,Sciences du vivant,1897-04-13
451,Medecine,1908-12-24
453,Autres,1922-01-22
459,Sciences du vivant,1873-12-21
467,Medecine,1881-03-04
468,Sciences mathematiques,1888-02-02
469,Autres,1917-11-11
471,Autres,1920-10-24
473,Astronomie,1889-12-07
474,Sciences physiques,1897-12-19
478,Autres,1917-08-30
479,Sciences du vivant,1904-08-14
481,Medecine,1908-06-07
483,Technique,1867-09-02
489,Philosophie,1932-01-05
491,Technique,1942-05-17
492,Sciences du vivant,1949-06-01
494,Philosophie,1902-05-30
501,Autres,1923-01-06
510,Sciences du vivant,1900-10-16
514,Medecine,1893-03-29
517,Sciences mathematiques,1918-01-01
520,Astronomie,1931-01-21
521,Sciences physiques,1919-10-18
523,Medecine,1931-11-05
537,chimie,1878-05-03
538,Sciences du vivant,1860-05-30
539,Sciences du vivant,1868-11-08
551,Astronomie,1941-09-09
562,Medecine,1902-06-10
566,Medecine,1892-11-26
569,Sciences du vivant,1926-11-06
570,Sciences mathematiques,1860-02-05
572,Sciences du vivant,1882-07-24
574,Astronomie,1944-01-01
577,Sciences mathematiques,1866-06-03
578,Sciences physiques,1912-05-03
586,Autres,1885-08-25
599,Sciences mathematiques,1906-03-11
600,Sciences du vivant,1874-03-26
604,Sciences du vivant,1906-07-24
614,Autres,1863-03-15
619,Sciences du vivant,1912-09-06
625,Philosophie,1927-08-09
634,Sciences du vivant,1923-12-08
638,Sciences mathematiques,1927-10-15
639,Sciences du vivant,1927-06-06
640,Sciences du vivant,1906-12-02
643,Medecine,1950-03-30
647,Sciences du vivant,1893-08-26
650,Astronomie,1886-02-02
652,Autres,1900-01-08
656,Sciences du vivant,1949-04-25
660,Sciences du vivant,1944-12-29
664,Sciences du vivant,1955-01-01
665,Philosophie,1869-10-11
666,Astronomie,1938-01-29
671,Astronomie,1934-03-17
674,Sciences du vivant,1939-02-03
677,Medecine,1911-05-17
680,Sciences du vivant,1953-09-21
685,Sciences du vivant,1955-01-01
